PROJECT ID	COMPANY DESCRIPTION	OBJECTIVE	DELIVERABLES	SKILLS	Notes
AMP1	Large diversified financial services company	Predictive Modelling of Costumer Fund Cash Withdrawal Behavior	A calibrated model predicting client withdrawal propensity	1. Python 2. Machine Learning	Likely to be an intensive machine learning project. The project sponsor is an expert on ML
APP1	A large consumer tech company	Determine the correct categorization of parts which are “Uncategorized” or potentially mis-categorized at the Commodity and SubGroup levels	Model to: • Validate existing and uncategorized parts to a Commodity and Subgroup mapping • Predict commodity and subgroup for new part using given set of input features • Recommend new commodity and subgroup for the parts that remain uncategorized •Graphical representation of the validated/newly categorized parts •Report explaining the model and Executive summary for senior management 	- Python/R - SQL - Machine learning  - Text analysis	A classical ML project that may require the use of random forests or neural nets and will require some text mining. NOTE: This project is not certain - there are some NDA issues that may not be resolved in time!
BAM1	Multi-strategy investment firm based in NYC	Relate factors (technical and fundamental) to stock price using: 1. dimension reduction and feature selection 2. classification and regression  3. (optional) construct trading strategies and do portfolio optimization	1. models in Python 2. visualizations and graphs in either a Jupyter notebook or a web app 3. presentation	1. Python/Jupyter notebooks/Django or flask 2. ML (random forests/gradientboosting/LSTM neural nets) 	This is likely to be a standard ML project though the data part may be a bit messy
BED1	Data Solutions (AI and analytics) company based in NYC	A routing problem with peculiarities!  	1. A model (python code) 2. A report 3. A presentation	OR (optimization) Python	This is a classical optimization problem. The most difficult part is likely to be in formulating the problem meaningfully
BLA1	A peer-to-peer transportation network based in Europe	1. Understanding passenger flow and demand in Western Europe (transportation data is available) 2. Quantifying the quality of a bus network (building a metric) 3. A model for passenger transportation preferences in a competitive environment.  	1. A network of cities with bus and passenger flows based on the model	1. OR (optimization) 2. Graph theory 3. Modeling	This is likely to be a mix of analytics and OR (optimization), perhaps with some simulation thrown in
CAR1	A well known automobile company	Derive a customer preference model for the vehicles manufactured and sold by the company in the US	1. A sales based customer preference model and a generic data preparation pipeline 2. A group preference model and a pipeline that combines individual preferences into group preferences 3. ML model that learns the preference model from 1 and 2 above 4. Model evaluation and report 5. (optional) Recommendations for improvement and a UI for evaluations	1. SQL 2. Python 3. ML 4. Interest in multi-criteria decision making and preference modeling	Definitely for those of you interested in marketing models and customer analysis. But, expect this to be very quantitative
CGA1	NYC based startup focused on real estate analytics	Effect of neighborhood demographic and economic factors on real estate price changes	1. Predictive model 2. Analytical app (prefer webapp but a Jupyter notebook also works)	1. Statistical modeling 2. Machine learning 3. Web apps (Django/flask)	This should be reasonably straightforward once you've collected and downloaded and cleaned the data. A good ML and statistical exercise
CHP1	Well known retail apparel company	Consumer lifecycle and revenue projections (marketing and CRM)	1. 5-year revenue projection & customer lifecycle tier for existing customer base 2. specific customer profiles to target for recruitment, consumer insights	1. Statistical modeling 2. Interest in marketing and the retail environment	Probably a great project for someone interested in consumer centric modeling
CHP2	Well known retail apparel company	We want to accurately capture the “lost sales” which are defined as the missed full-price selling opportunity after an item has gone out of stock.	1. Model for predicting lost sales for items that are out of stock	1. Statistical modeling 2. Interest in marketing and the retail environment	Probably a great project for someone interested in marketing models
CHP3	Well known retail apparel company	model the projected traffic for each of our retail locations	Model for store traffic projections for each location by day	1. Statistical modeling 2. Interest in marketing and the retail environment	Probably a great project for someone interested in marketing models
DAB1	New Jersey based financial news and data provider	Building a "digital maturity index", an index that indicates where a company is on the digital transformation scale wrt its peers	1. A report and presentation that explains the modeling process, the methodology, and the framework for the digital maturity index	1. Web scraping (most of the data is public) 2. Python 3. ML and statistical modeling	This project is heavy on data gathering and ML. It also requires some creative thinking in how to use the data
DAB2	New Jersey based financial news and data provider	Using NLP and data from online sources (BBC, Wikipedia, The Guardian), identify individuals and businesses for possible violation of international laws and codes of conduct	1. An open source project on Apache Spark 2. A NLP/NER (natural language/named entity recognition) model for entity identification 3. A presentation and a web app for the results	1. Apache Spark 2. Text mining 3. Web apps 4. AWS	This is the third year that this project sponsor is offering a project and, as always, the project is unusual and interesting. You will acquire the very marketable AWS,  S3, and text mining (stanford corenlp) skills.
