PROJECT ID	COMPANY DESCRIPTION	OBJECTIVE	DELIVERABLES	SKILLS/INTERESTS	Notes
AM	Large diversified financial services company	Predictive Modelling of Client Mortality	a calibrated model predicting client propensity based on the most relevant variables	1. Python 2. Machine Learning	Likely to be an intensive machine learning project. The project sponsor is an expert on ML
AG	Global investment advisory firm	Timely hedge fund (reputational) news classifier	There are two main deliverables for the project: • Cleaned (and pre-processed) as well as raw text scraped from news sources including label associated with the text (either manually or automated via key-words). • A trained classifier that is able to generalize. This classifier would be trained (or an existing classifier suitable for this purpose will be fine-tuned) on the data that is collected.	1. Python 2. Text analytics 3. Web crawling/scraping	Lots of text analytics. The company's focus is on responsible investing and the client heads their Environmental, Social, and Corporate Governance group
AP1	A large consumer tech company	Determine the correct categorization of parts which are “Uncategorized” or potentially mis-categorized at the Commodity and SubGroup levels	Model to: • Validate existing and uncategorized parts to a Commodity and Subgroup mapping • Predict commodity and subgroup for new part using given set of input features • Recommend new commodity and subgroup for the parts that remain uncategorized •Graphical representation of the validated/newly categorized parts •Report explaining the model and Executive summary for senior management 	- Python/R - SQL - Machine learning  - Text analysis	A classical ML project that may require the use of random forests or neural nets and will require some text mining. 
AP2	A large consumer tech company	capture key attributes from part descriptions, to store for more structured data and powerful insights	1. By commodity, please provide: a. Summary of top attribute types and distribution of frequency b. Patterns or word correlations found in the analysis c. Export of parts with structured list of key attributes 2. Recommendations for standardization: a. Based on the patterns found, what are some rules that should be implemented for future part descriptions, to ensure consistency? 	1. Text mining 2. Python	The focus here is on text mining and advanced analytics. The kind of analytics required may include neural nets but a lot depends on the nature of the preliminary results
AP3	A large consumer tech company	Use research of the electronics market to understand the current state of the electronics industry for commonly used components, or commonly used manufacturing processes for components	Will need to to see the segments identified as risk, and have some methodology applied to each category and time that indicates the degree of risk. Where significant risk is uncovered, there should be recommendations proposed for countering the future risks, I.e. adopting alternative sources, investing in vendor expansions, or considering alternate manufacturing processes with less constraint or newer technology	1. Mixed. Some programming, some analytics	This project is relatively unstructured. It is ideally suited for someone more interrested in product management and business issues than for someone interested in deep technical issues
BC	an online marketplace for small business credit and has originated more than $3B in funding volume for small businesses since inception	the student team is required to conduct web scraping to: (1) identify whether the business operates a website or not (2) if it does operate a website, identify and extract features capturing various dimensions of website quality. As part of the project, students will have to hypothesize such features and proceed to extract them. The last step would be to assess whether website presence/absence and quality dimensions can predict credit outcomes, such as approve/decline or default.	a presentation of their work, to be presented to the data science team and underwriters at the company	1. Strong python skills 2. ML and stats skills	A long term project provider, you'll be expected to be in constant touch with your company contacts (including a 2015 IEOR graduate)
BM	An asset management firm	Building equity trading models using: 1. Proprietary papers 2. Public data and (possibly) proprietarty data	An equity trading model	1. An interest in trading models 2. An 	If you're interested in trading models ....
DL	A tech startup	Predicting the financial performance of companies based on alternative data sources	Creating a web app customizable dashboard for a portfolio of sub-sector of specific companies Model predictions (ML/AI) on target financial statements of a company Backtesting the models’ results Creating a benchmark for every dataset and its’ “prediction weight” on the different companies’  Using explainable artificial intelligence to understand the results 	1. Python 2. Eclectic ML skills and the willingness to research techniques 3. Flask or Django or interest in web applications	
GY	a global leader in providing risk and reinsurance intermediary services.	Design of Parametric Wildfire Risk (Re)Insurance Transactions	1. A preliminary analysis of Earth observation assets that could be used to trigger these types of transactions. This includes a review of the Aqua and Terra NASA satellites and their capabilities. 2. A model (algorithm/s) that estimates loss based on a series of wildfire features in harmony with the reporting technology. Although the student will have freedom to choose programming tools, we strongly encourage the student to facilitate the model and algorithms in MATLAB format, as that is our current platform. Application of the work has greater chances of success if delivered in this programming environment. 3. A report that explains the methodology. If the work is of sufficient quality and the student is interested, the company will support the joint publication of this work as a conference or journal paper. 4. An executive summary for senior management including the application of the concepts to a case study to be defined with the company. 	1. Python 2. APIs/Web Scraping 3. ML 4. Report writing	Historically, the projects from this company are fairly technical but the final presentations are to a mixed group. Good practice on how to present results to mixed audiences
IB	is a boutique innovation and strategy consultancy that provides advertising, data science, and innovation advisory services for Fortune 500 companies	use different quantitative techniques to help Innovation Booster uncover core insights on consumers, market products, and monetization channels/business models for a Fortune 300 retail leader	Results in an appropriate format	1. Text analytics 2. Machine learning	If your interest is in marketing analytics ....
